"TOA5","CR6Series_2","CR6","15361","CR6.Std.10.02","CPU:W20058__CR6CP_EErDuoSi.CR6","35657","Time_Series"
"TIMESTAMP","RECORD","Ux","Uy","Uz","T_SONIC","diag_sonic","CO2","H2O","diag_irga","TA_1_1_1","T_cell","PA_cell","CO2_sig_strgth","H2O_sig_strgth","PA_diff","PA","pump_flow","sampling_regime"
"TS","RN","m s-1","m s-1","m s-1","deg C","adimensional","umolCO2 mol-1","mmolH2O mol-1","adimensional","deg C","deg C","kPa","fraction","fraction","kPa","kPa","L min-1","adimensional"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-22 13:49:37.4",1658099,-5.84392,-5.315446,-0.06447434,21.03014,0,418.2463,7.054125,0,20.37402,24.78793,81.47944,1.010772,1.014988,-5.297409,86.77685,8.01286,1
"2021-05-22 13:49:37.5",1658100,-4.995678,-6.281289,0.09101691,20.9757,0,418.5084,7.02391,0,20.32245,24.78824,81.47871,1.010797,1.014985,-5.296753,86.77546,8.005042,1
"2021-05-22 13:49:37.6",1658101,-5.175954,-4.868237,-0.1930509,20.93933,0,418.5247,6.99826,0,20.28857,24.78775,81.48163,1.010824,1.014982,-5.292152,86.77378,7.999962,1
"2021-05-22 13:49:37.7",1658102,-5.560905,-4.713559,0.3274558,20.69362,0,418.5599,6.968458,0,20.04614,24.78836,81.48409,1.01078,1.014954,-5.296295,86.78039,7.997965,1
"2021-05-22 13:49:37.8",1658103,-4.813067,-4.425631,2.154198,21.06296,0,418.6168,7.039466,0,20.40805,24.78729,81.48383,1.010813,1.014991,-5.301292,86.78513,8.000155,1
"2021-05-22 13:49:37.9",1658104,-3.8273,-3.886055,1.467302,20.97731,0,418.4911,7.037838,0,20.32278,24.78751,81.48675,1.010824,1.01496,-5.300354,86.7871,7.998489,1
"2021-05-22 13:49:38",1658105,-4.788876,-2.913472,1.101096,20.8243,0,418.4402,7.042157,0,20.16974,24.7865,81.48711,1.010821,1.01499,-5.300323,86.78743,8.000097,1
"2021-05-22 13:49:38.1",1658106,-5.330706,-2.386644,1.106872,21.14567,0,418.4252,7.072516,0,20.48755,24.7876,81.4882,1.010798,1.014983,-5.301216,86.78941,7.998799,1
"2021-05-22 13:49:38.2",1658107,-6.622333,-2.574688,2.51686,21.39674,0,418.2384,7.169217,0,20.72913,24.78659,81.48998,1.010796,1.014987,-5.300301,86.79028,7.998682,1
"2021-05-22 13:49:38.3",1658108,-6.752228,-2.071779,1.353872,21.36866,0,418.238,7.141944,0,20.70361,24.78696,81.49137,1.010812,1.015009,-5.296219,86.78759,7.998402,1
"2021-05-22 13:49:38.4",1658109,-6.875762,-3.269828,0.5380701,21.12378,0,418.3675,7.098641,0,20.46335,24.78757,81.49099,1.010776,1.014985,-5.300629,86.79162,8.000233,1
"2021-05-22 13:49:38.5",1658110,-5.240945,-3.060412,1.569769,21.27849,0,418.3097,7.108995,0,20.6167,24.7865,81.4915,1.010817,1.015007,-5.299026,86.79053,7.998567,1
"2021-05-22 13:49:38.6",1658111,-3.970567,-4.719013,1.401903,21.21713,0,418.5119,7.082201,0,20.55798,24.78625,81.49283,1.010803,1.014982,-5.295624,86.78845,8.000291,1
"2021-05-22 13:49:38.7",1658112,-4.366709,-3.59393,0.5829619,21.29737,0,418.2668,7.136068,0,20.63306,24.78574,81.49062,1.010815,1.014994,-5.297401,86.78802,8.000621,1
"2021-05-22 13:49:38.8",1658113,-6.515431,-4.495362,0.7556313,21.70738,0,418.0182,7.292206,0,21.02765,24.785,81.49152,1.010825,1.015003,-5.297173,86.78869,7.998682,1
"2021-05-22 13:49:38.9",1658114,-5.88104,-3.006441,1.122859,21.83495,0,418.0286,7.26511,0,21.15744,24.78607,81.49335,1.010783,1.014995,-5.296211,86.78956,8.000242,1
